timestamp,arbitration id,extended,remote,error,dlc,data
1518562521.867868,2016,False,False,False,8,0001020304050607
1518562521.880237,2016,False,False,False,8,0001020304050607
1518562521.888902,2016,False,False,False,8,0001020304050607
1518562521.897422,2016,False,False,False,8,0001020304050607
1518562521.905855,2016,False,False,False,8,0001020304050607
1518562521.914092,2016,False,False,False,8,0001020304050607
1518562521.922332,2016,False,False,False,8,0001020304050607
1518562521.930551,2016,False,False,False,8,0001020304050607
1518562521.868015,2016,False,False,False,8,0001020304050607
1518562521.868153,2016,False,False,False,8,0001020304050607
1518562521.868284,2016,False,False,False,8,0001020304050607
1518562521.868439,2016,False,False,False,8,0001020304050607
1518562521.868582,2016,False,False,False,8,0001020304050607
1518562521.868705,2016,False,False,False,8,0001020304050607
1518562521.868829,2016,False,False,False,8,0001020304050607
1518562521.868953,2016,False,False,False,8,0001020304050607
1518562521.869081,2016,False,False,False,8,0001020304050607
1518562521.869211,2016,False,False,False,8,0001020304050607
1518562521.869336,2016,False,False,False,8,0001020304050607
1518562521.869463,2016,False,False,False,8,0001020304050607
1518562521.869587,2016,False,False,False,8,0001020304050607
1518562521.869709,2016,False,False,False,8,0001020304050607
1518562521.869833,2016,False,False,False,8,0001020304050607
1518562521.869957,2016,False,False,False,8,0001020304050607
1518562521.87008,2016,False,False,False,8,0001020304050607
1518562521.870207,2016,False,False,False,8,0001020304050607
1518562521.870333,2016,False,False,False,8,0001020304050607
1518562521.870461,2016,False,False,False,8,0001020304050607
1518562521.870585,2016,False,False,False,8,0001020304050607
1518562521.870711,2016,False,False,False,8,0001020304050607
1518562521.870834,2016,False,False,False,8,0001020304050607
1518562521.870962,2016,False,False,False,8,0001020304050607
1518562521.87109,2016,False,False,False,8,0001020304050607
1518562521.871217,2016,False,False,False,8,0001020304050607
1518562521.871341,2016,False,False,False,8,0001020304050607
1518562521.871464,2016,False,False,False,8,0001020304050607
1518562521.871588,2016,False,False,False,8,0001020304050607
1518562521.871714,2016,False,False,False,8,0001020304050607
1518562521.871843,2016,False,False,False,8,0001020304050607
1518562521.871971,2016,False,False,False,8,0001020304050607
1518562521.872095,2016,False,False,False,8,0001020304050607
1518562521.872218,2016,False,False,False,8,0001020304050607
1518562521.872341,2016,False,False,False,8,0001020304050607
1518562521.872471,2016,False,False,False,8,0001020304050607
1518562521.872604,2016,False,False,False,8,0001020304050607
1518562521.872856,2016,False,False,False,8,0001020304050607
1518562521.873058,2016,False,False,False,8,0001020304050607
1518562521.873261,2016,False,False,False,8,0001020304050607
1518562521.873443,2016,False,False,False,8,0001020304050607
1518562521.873622,2016,False,False,False,8,0001020304050607
1518562521.873797,2016,False,False,False,8,0001020304050607
