timestamp, arbitration id, extended, remote, error, dlc, data
1521401112.497809,0xd,1,0,0,7,AAAFAjIXUA==
1521401112.49895,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.499978,0xc,1,0,0,7,EwISARIiXA==
1521401112.5042,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.505252,0xd,1,0,0,7,AAAFAjIXUA==
1521401112.50639,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.507424,0xc,1,0,0,7,EwISARIiXA==
1521401112.511667,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.512725,0xd,1,0,0,7,AAAFAjIXUA==
1521401112.513869,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.514929,0xc,1,0,0,7,EwISARIiXA==
1521401112.519145,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.520203,0xd,1,0,0,7,AAAFAjIXUA==
1521401112.521343,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.522386,0xc,1,0,0,7,EwISARIiXA==
1521401112.526586,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.527645,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.528774,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.529814,0xc,1,0,0,7,EwISARIiXA==
1521401112.53403,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.5351,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.536096,0x82,0,0,0,8,ABEUAAAUAMM=
1521401112.537204,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.538242,0xc,1,0,0,7,EwISARIiXA==
1521401112.538904,0x81,0,0,0,4,ERQAqg==
1521401112.539577,0x80,0,0,0,4,BhUAnw==
1521401112.541488,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.542552,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.543688,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.544726,0xc,1,0,0,7,EwISARIiXA==
1521401112.548959,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.550016,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.55115,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.552189,0xc,1,0,0,7,EwISARIiXA==
1521401112.55644,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.557501,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.558643,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.559684,0xc,1,0,0,7,EwISARIiXA==
1521401112.564865,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.565915,0xd,1,0,0,7,AAAFAjIXUA==
1521401112.567047,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.568087,0xc,1,0,0,7,EwISARIiXA==
1521401112.571358,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.572418,0xd,1,0,0,7,AAAFAjIXUA==
1521401112.573574,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.574598,0xc,1,0,0,7,EwISARIiXA==
1521401112.578789,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.579847,0xd,1,0,0,7,AAAFAjIXUA==
1521401112.580983,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.582023,0xc,1,0,0,7,EwISARIiXA==
1521401112.586258,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.587305,0xd,1,0,0,7,AAAFAjIXUA==
1521401112.588439,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.589477,0xc,1,0,0,7,EwISARIiXA==
1521401112.593709,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.594765,0xd,1,0,0,7,AAAFAjIXUA==
1521401112.595908,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.596946,0xc,1,0,0,7,EwISARIiXA==
1521401112.601166,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.602223,0xd,1,0,0,7,AAAFAjIXUA==
1521401112.603367,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.604408,0xc,1,0,0,7,EwISARIiXA==
1521401112.60867,0x10,1,0,0,7,jz+OowcB3A==
1521401112.609733,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.610878,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.611933,0xc,1,0,0,7,EwISARIiXA==
1521401112.616131,0x10,1,0,0,7,jz+OowcB3A==
1521401112.617191,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.61833,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.619376,0xc,1,0,0,7,EwISARIiXA==
1521401112.623575,0x10,1,0,0,7,jz+OowcB3A==
1521401112.624644,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.625779,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.626816,0xc,1,0,0,7,EwISARIiXA==
1521401112.631028,0x10,1,0,0,7,jz+OowcB3A==
1521401112.632093,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.633231,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.634268,0xc,1,0,0,7,EwISARIiXA==
1521401112.638495,0x10,1,0,0,7,jz+OowcB3A==
1521401112.639544,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.640686,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.641342,0x81,0,0,0,4,EhMAqg==
1521401112.642382,0xc,1,0,0,7,EwISARIiXA==
1521401112.643342,0x82,0,0,0,8,ABITAAAUAMM=
1521401112.644008,0x80,0,0,0,4,BRIAmw==
1521401112.645957,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.647022,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.648169,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.649205,0xc,1,0,0,7,EwISARIiXA==
1521401112.653401,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.65445,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.655605,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.656638,0xc,1,0,0,7,EwISARIiXA==
